id,title,description,availability,condition,price,link,image_link,brand,google_product_category
11028883833170,Eclipse Bracelet,"Perles blanches et sombres — argent. Fait main à Paris, en édition limitée.",in stock,new,55.00 EUR,https://atelier-kibo.com/produit-eclipse-bracelet.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-tahiti-bracelet.jpg?v=1786776690,KIBO Paris,Apparel & Accessories > Jewelry
11028883800402,Vertigo Bracelet,"Perles, argent vieilli — smiley bleu. Fait main à Paris, en édition limitée.",in stock,new,55.00 EUR,https://atelier-kibo.com/produit-vertigo-bracelet.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-palermo-bracelet.jpg?v=1786776689,KIBO Paris,Apparel & Accessories > Jewelry
11028883767634,Ibiza Bracelet,"Perles rayées soleil — fermoir doré. Fait main à Paris, en édition limitée.",in stock,new,45.00 EUR,https://atelier-kibo.com/produit-ibiza-bracelet.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-ibiza-bracelet.jpg?v=1786776689,KIBO Paris,Apparel & Accessories > Jewelry
11028883702098,Positano Bracelet,"Nacre bonbon — perles d'eau douce. Fait main à Paris, en édition limitée.",in stock,new,45.00 EUR,https://atelier-kibo.com/produit-positano-bracelet.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-positano-bracelet.jpg?v=1786776688,KIBO Paris,Apparel & Accessories > Jewelry
11028883669330,Rio Bracelet,"Verre soufflé multicolore. Fait main à Paris, en édition limitée.",in stock,new,40.00 EUR,https://atelier-kibo.com/produit-rio-bracelet.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-rio-bracelet.jpg?v=1786776688,KIBO Paris,Apparel & Accessories > Jewelry
11028883636562,Halo Bracelet,"Demi-chaîne acier — perles d'eau douce. Fait main à Paris, en édition limitée.",in stock,new,50.00 EUR,https://atelier-kibo.com/produit-halo-bracelet.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-casablanca-bracelet.jpg?v=1786776687,KIBO Paris,Apparel & Accessories > Jewelry
11028883603794,Neptune Necklace,"Demi-chaîne acier — étoiles et fleurs bleues. Fait main à Paris, en édition limitée.",in stock,new,120.00 EUR,https://atelier-kibo.com/produit-neptune.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-neptune.jpg?v=1786776687,KIBO Paris,Apparel & Accessories > Jewelry
11028883571026,Sunset Necklace,"Demi-chaîne acier — dégradé jaune, orange, rouge. Fait main à Paris, en édition limitée.",in stock,new,120.00 EUR,https://atelier-kibo.com/produit-sunset.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-sunset.jpg?v=1786776686,KIBO Paris,Apparel & Accessories > Jewelry
11028883538258,Fiesta Necklace,"Champignons, poissons, étoiles — verre filé. Fait main à Paris, en édition limitée.",in stock,new,120.00 EUR,https://atelier-kibo.com/produit-fiesta.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-fiesta.jpg?v=1786776686,KIBO Paris,Apparel & Accessories > Jewelry
11028883505490,Amuleto Necklace,"Perles, mains rouges — yeux protecteurs. Fait main à Paris, en édition limitée.",in stock,new,140.00 EUR,https://atelier-kibo.com/produit-amuleto.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-amuleto.jpg?v=1786776685,KIBO Paris,Apparel & Accessories > Jewelry
